Institución, Indicador, Rango de Indicador, 2013, 2014, 2015,2016, 2017, 2018, 2019, 2020, 2021,2022, 2023
Uniandes, JSR,  0  <= JSR < 2 , 322, 344, 362, 383, 499, 425, 489, 524, 495, 496, 523
Uniandes, JSR,  2  <= JSR < 5 , 284, 268, 297, 399, 404, 451, 480, 530, 523, 457, 512
Uniandes, JSR,  5 <= JSR < 10 , 15, 20, 23, 14, 15, 26, 26, 39, 33, 54, 51
Uniandes, JSR,  10  <= JSR < 20 , 0, 2, 0, 3, 0, 0, 4, 0, 4, 0, 0
Uniandes, JSR,  JSR >= 20 , 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0
Uniandes, H,    0 <= H index < 20 , 137,  141,  165,  150,  165,  110,  115,  152, 129, 129, 155
Uniandes, H,    20  <= H index < 50 , 75,  93,  105,  137,  212,  168,  183,  171,  218,  192,  206
Uniandes, H,    50 <= H index < 100 , 168, 152,  162,  229,  257,  237,  298,  365,  308,  372, 354
Uniandes, H,    100  <= H index < 200 , 181,  167,  196,  211,  235,  270,  313,  385,  390, 327, 351
Uniandes, H,    H index >= 200 , 118, 127, 137, 166, 177, 226, 238, 202, 195, 194, 235
EAFIT, JSR,  0  <= JSR < 2 , 125, 218, 156, 196, 149, 140, 163, 195, 215, 130, 160
EAFIT, JSR,  2  <= JSR < 5 , 35, 24, 31, 54, 55, 52, 61, 75, 78, 63, 82
EAFIT, JSR,  5 <= JSR < 10 , 0, 0, 0, 1, 0, 0, 6, 2, 4, 6, 4
EAFIT, JSR,  10  <= JSR < 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
EAFIT, JSR,  JSR >= 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
EAFIT, H,    0  <= H index < 20 , 73, 62, 66, 97, 68, 96, 79, 71, 75, 53, 79
EAFIT, H,    20  <= H index < 50 , 15, 41, 58, 69, 51, 40, 68, 72, 80, 66, 64
EAFIT, H,    50 <= H index < 100 , 28, 30, 37, 28, 62, 32, 52, 85, 78, 57, 87
EAFIT, H,    100  <= H index < 200 , 62, 119, 36, 64, 48, 45, 45, 65, 65, 61, 71
EAFIT, H,    H index >= 200 , 12, 5, 15, 19, 14, 14, 20, 39, 37, 23, 31
EIA, JSR,  0  <= JSR < 2 , 15, 18, 23, 17, 36, 18, 27, 33, 21, 32, 22
EIA, JSR,  2  <= JSR < 5 , 9, 7, 4, 11, 17, 36, 14, 16, 15, 15, 36
EIA, JSR,  5 <= JSR < 10 , 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
EIA, JSR,  10  <= JSR < 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
EIA, JSR,  JSR >= 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
EIA, H,    0  <= H index < 20 , 8, 5, 1, 2, 1, 8, 6, 6, 9, 22, 17
EIA, H,    20  <= H index < 50 , 6, 11, 5, 2, 3, 6, 9, 10, 8, 10, 12
EIA, H,    50 <= H index < 100 , 0, 0, 15, 2, 20, 3, 10, 9, 10, 14, 14
